mcccode,Тип торговой точки,mccgrp,Название торговой точки (латиница),Название торговой точки (кириллица),Адрес,№ кассы,Страна,Город,Дата внесения в базу,Примечание
8241, Correspondence Schools,Retail Purchase,,,,,,,10/8/2012,
8244, Business & Secretarial Scho,Retail Purchase,,,,,,,10/8/2012,
8249, Vocational & Trade Schools,Retail Purchase,,,,,,,10/8/2012,
8299, Schools & Educational Servi,Retail Purchase,FOTOSHKOLA.NET,,BERSENEVSKAYA EMB,,RUS,MOSCOW,10/8/2012,
8351, Child Day Care Services,Retail Purchase,,,,,,,10/8/2012,
8398, Charitable Contributions,Retail Purchase,,,,,,,10/8/2012,
8411,,Retail Purchase,,,,,,,10/8/2012,
8412,,Retail Purchase,,,,,,,10/8/2012,
8641," Civic,social & Fraternal As",Retail Purchase,,,,,,,10/8/2012,
8651, Political Organizations,Retail Purchase,,,,,,,10/8/2012,
8661, Religious Organizations,Retail Purchase,,,,,,,10/8/2012,
8675, Automobile Associations,Retail Purchase,,,,,,,10/8/2012,
8699, Membership Organizations,Retail Purchase,,,,,,,10/8/2012,
8734, Testing Labs Non-medical,Retail Purchase,,,,,,,10/8/2012,
8911," Engineering,architectural",Retail Purchase,,,,,,,10/8/2012,
8931," Accounting,auditing Service",Retail Purchase,,,,,,,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,DENGI.MAIL.RU,ДЕНЬГИ МЭЙЛ РУ,LENINGRADSKIY AVE.,,RUS,MOSCOW,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,BIGLION,БИГЛИОН,DOROZHNAYA STR,,RUS,MOSCOW,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,PAYPAL,ПЭЙПАЛ,,,,,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,PAYPAL *RAOSHAOPING,ПЭЙПАЛ,,,,,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,SHIPITO,ШИПИТО,,,,,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,WWW.VIGODA.RU,ВЫГОДА.РУ,,,RUS,MOSCOW,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,ROSTELEKOM ,РОСТЕЛЕКОМ ,,,RUS,MOSCOW,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,BIGBUZZY.RU,,DERBENEVSKAYA EMB.,,RUS,MOSCOW,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,WWW.GROUPON.RU,,A.SOLZHENITSYNA S,,RUS,MOSCOW,10/8/2012,
8999," Services,not Elsewhere Clas",Retail Purchase,Agip,АГИП ЗАПРАВКА,,,RUS,MOSCOW,10/8/2012,по топливным акциям бонуса не дают
9211, Court Costs,Retail Purchase,,,,,,,10/8/2012,
9222, Fines,Retail Purchase,,,,,,,10/8/2012,
9223, Bail & Bond Payments,Retail Purchase,,,,,,,10/8/2012,
9311, TAX PAYMENTS,Retail Purchase,,,,,,,10/8/2012,
9399, Government Services,Retail Purchase,,,,,,,10/8/2012,
9401, I-Purchasing Pilot,Retail Purchase,,,,,,,10/8/2012,
9402, Postal Services-Government ,Retail Purchase,,,,,,,10/8/2012,
9405, Intra Government Purchases,Retail Purchase,,,,,,,10/8/2012,
9702, GCAS Emergency Services,Retail Purchase,,,,,,,10/8/2012,
9751, UK Supermarkets Elec Hot Fi,Retail Purchase,,,,,,,10/8/2012,
9752, UK Petrol Stns. Elec Hot Fi,Retail Purchase,,,,,,,10/8/2012,
9753, Germany Disaster Relief Don,Retail Purchase,,,,,,,10/8/2012,
9754,,Unique,,,,,,,10/8/2012,
9950, Intra Company Purchases,Retail Purchase,,,,,,,10/8/2012,
