mcc,mccgrp
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5411,Variety/Groc/Food Stores
5422,Retail Purchase
5441,Retail Purchase
5451,Retail Purchase
5462,Retail Purchase
5499,Variety/Groc/Food Stores
5499,Variety/Groc/Food Stores
5499,Variety/Groc/Food Stores
5499,Variety/Groc/Food Stores
5499,Variety/Groc/Food Stores
5499,Variety/Groc/Food Stores
5511,Retail Purchase
5521,Retail Purchase
5531,Retail Purchase
5532,Retail Purchase
5533,Retail Purchase
5533,Retail Purchase
5541,Retail Purchase
5541,Retail Purchase
5541,Retail Purchase
5541,Retail Purchase
5541,Retail Purchase
5542,Retail Purchase
5543,Retail Purchase
5544,Retail Purchase
5551,Retail Purchase
5561,Retail Purchase
5571,Retail Purchase
5592,Retail Purchase
5598,Retail Purchase
5599,Retail Purchase
5611,Retail Purchase
5621,Retail Purchase
5621,Retail Purchase
5631,Retail Purchase
5641,Retail Purchase
5641,Retail Purchase
5641,Retail Purchase
5641,Retail Purchase
5651,Retail Purchase
5651,Retail Purchase
5651,Retail Purchase
5651,Retail Purchase
5651,Retail Purchase
5651,Retail Purchase
5651,Retail Purchase
5655,Retail Purchase
5661,Retail Purchase
5662,Retail Purchase
5663,Retail Purchase
5681,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5691,Retail Purchase
5697,Retail Purchase
5698,Retail Purchase
5699,Retail Purchase
5712,Retail Purchase
5713,Retail Purchase
5714,Retail Purchase
5718,Retail Purchase
5719,Retail Purchase
5722,Retail Purchase
5722,Retail Purchase
5722,Retail Purchase
5722,Retail Purchase
5722,Retail Purchase
5722,Retail Purchase
5722,Retail Purchase
5732,Retail Purchase
5732,Retail Purchase
5732,Retail Purchase
5733,Retail Purchase
5734,Retail Purchase
5734,Retail Purchase
5734,Retail Purchase
5734,Retail Purchase
5735,Retail Purchase
